Div.,Article,Sebango,Forced
1268,1828701000,7010,X
1268,1828704000,7040,X
1268,1828734000,7340,X
1268,1828753000,7530,X
1268,1828753900,7539,X
1268,1828767000,7670,X
1268,1828779000,7790,X
1268,1828780100,7801,X
1268,1828780600,7806,X
1268,1828812600,8126,X
1268,1828812900,8129,X
1268,1828813600,8136,X
1268,1828820000,8200,X
1268,1828820900,8209,X
1268,1828823000,8230,X
1268,1828834000,8340,X
1268,1828834900,8349,X
1268,1828835000,8350,X
1268,1828948000,9480,X
1268,1828950600,9506,X
1268,1828963900,9639,X
1268,1829045600,0456,X
1268,1829045900,0459,X
1268,1829048600,0486,X
1268,1829048900,0489,X
1268,1829055000,0550,X
1268,1829112900,1129,X
1268,1829198000,1980,X
1268,1829200600,2006,X
1268,1829201600,2016,X
1268,1829251000,2510,X
1268,1829251900,2519,X
1268,1829252000,2520,X
1268,1829252900,2529,X
1268,1829304000,3040,X
1268,1829305600,3056,X
1268,1829306600,3066,X
1268,1829307600,3076,X
1268,1829311000,3110,X
1268,1829313000,3130,X
1268,1829358000,3580,X
1268,1829358900,3589,X
1268,1829409000,4090,X
1268,1829411000,4110,X
1268,1829471900,4719,X
1268,1829473600,4736,X
1268,1829479600,4796,X
1268,1829480600,4806,X
1268,1829482000,4820,X
1268,1829489000,4890,X
1268,1829490000,4900,X
1268,1829512000,5120,X
1268,1829512600,5126,X
1268,1829530600,5306,X
1268,1829531000,5310,X
1268,1829531600,5316,X
1268,1829532600,5326,X
1268,1829613600,6136,X
1268,1829685000,6850,X
1268,1829860600,8606,X
1268,1829903600,9036,X
1268,1829910600,9106,X
1268,1829911600,9116,X
1268,1829928600,9286,X
1268,1829966000,9660,X
1268,1829966100,9661,X
1268,1829976000,9760,X
1268,1829976600,9766,X
1268,1882000000,0000,X
1268,1882001000,0010,X
1268,1882002000,0020,X
1268,1882017000,0170,X
1268,1882018000,0180,X
1268,1882022000,0220,X
1268,1882023000,0230,X
1268,1882056000,0560,X
1268,1882083000,0830,X
1268,1882085000,0850,X
1268,1882125000,1250,X
1268,1882128000,1280,X
1268,1882236000,2360,X
1268,1882237000,2370,X
1268,1882246000,2460,X
1268,1882250000,2500,X
1268,1882318000,3180,X
1268,1882351070,3510,X
1268,1882374000,3740,X
1268,1882375000,3750,X
1268,1882413000,4130,X
1268,1882416000,4160,X
1268,1882431000,4310,X
1268,1882444000,4440,X
1268,1882445000,4450,X
1268,1882450000,4500,X
1268,1882452000,4520,X
1268,1882453000,4530,X
1268,1882454000,4540,X
1268,1882456000,4560,X
1268,1882465000,4650,X
1268,1882466000,4660,X
1268,1882478000,4780,X
1268,1882487000,4870,X
1268,1882488000,4880,X
1268,1882493000,4930,X
1268,1882496000,4960,X
1268,1882497000,4970,X
1268,1882500000,5000,X
1268,1882501000,5010,X
1268,1882502000,5020,X
1268,1882503000,5030,X
1268,1882504000,5040,X
1268,1882505000,5050,X
1268,1882506000,5060,X
1268,1882507000,5070,X
1268,1882508000,5080,X
1268,1882509000,5090,X
1268,1882510000,5100,X
1268,1882511000,5110,X
1268,1882512000,5120,X
1268,1882513000,5130,X
1268,1882514000,5140,X
1268,1882515000,5150,X
1268,1882518000,5180,X
1268,1882519000,5190,X
1268,1882522000,5220,X
1268,1882527000,5270,X
1268,1882529000,5290,X
1268,1882530000,5300,X
1268,1882535000,5350,X
1268,1882536000,5360,X
1268,1882537000,5370,X
1268,1882538000,5380,X
1268,1882539000,5390,X
1268,1882541000,5410,X
1268,1882542000,5420,X
1268,1882544000,5440,X
1268,1882552000,5520,X
1268,1882556000,5560,X
1268,1882557000,5570,X
1268,1882558000,5580,X
1268,1882560000,5600,X
1268,1882561000,5610,X
1268,1882562000,5620,X
1268,1882565000,5650,X
1268,1882566000,5660,X
1268,1882567000,5670,X
1268,1882568000,5680,X
1268,1882569000,5690,X
1268,1882570000,5700,X
1268,1882571000,5710,X
1268,1882572000,5720,X
1268,1882574000,5740,X
1268,1882575000,5750,X
1268,1882576000,5760,X
1268,1882577000,5770,X
1268,1882578000,5780,X
1268,1882579000,5790,X
1268,1882581000,5810,X
1268,1882582000,5820,X
1268,1882593000,5930,X
1268,1882594000,5940,X
1268,1882595000,5950,X
1268,1882596000,5960,X
1268,1882599000,5990,X
1268,1882602000,6020,X
1268,1882603000,6030,X
1268,1882606000,6060,X
1268,1882613000,6130,X
1268,1882616000,6160,X
1268,1882617000,6170,X
1268,1882618000,6180,X
1268,1882619000,6190,X
1268,1882620000,6200,X
1268,1882623000,6230,X
1268,1882624000,6240,X
1268,1882634000,6340,X
1268,1882635000,6350,X
1268,1882637000,6370,X
1268,1882644000,6440,X
1268,1882645000,6450,X
1268,1889440000,4400,X
1268,1882647000,6470,X
1268,1882648000,6480,X
1268,1882649000,6490,X
1268,1882659000,6590,X
1268,1882660000,6600,X
1268,1882661000,6610,X
1268,1882662000,6620,X
1268,1882665000,6650,X
1268,1882666000,6660,X
1268,1882667000,6670,X
1268,1882669000,2669,X
1268,1882671000,6710,X
1268,1882675000,6750,X
1268,1882676000,6760,X
1268,1882687000,6870,X
1268,1882689000,6890,X
1268,1882690000,6900,X
1268,1882694000,6940,X
1268,1882698000,6980,X
1268,1882699000,6990,X
1268,1882700000,7000,X
1268,1882701000,7010,X
1268,1882702000,7020,X
1268,1882703000,7030,X
1268,1882704000,7040,X
1268,1882705000,7050,X
1268,1882706000,7060,X
1268,1882707000,7070,X
1268,1882708000,7080,X
1268,1882709000,7090,X
1268,1882710000,7100,X
1268,1882714000,7140,X
1268,1882716000,7160,X
1268,1882717000,7170,X
1268,1882718000,7180,X
1268,1882719000,2719,X
1268,1882720000,2720,X
1268,1882721000,7210,X
1268,1882722000,7220,X
1268,1882723000,7230,X
1268,1882725000,7250,X
1268,1882726000,7260,X
1268,1882727000,7270,X
1268,1882728000,7280,X
1268,1882729000,7290,X
1268,1882732000,7320,X
1268,1882734000,7340,X
1268,1882735000,7350,X
1268,1882736000,7360,X
1268,1882737000,7370,X
1268,1882738000,7380,X
1268,1882740000,7400,X
1268,1882741000,7410,X
1268,1882742000,7420,X
1268,1882743000,7430,X
1268,1882744000,7440,X
1268,1882745000,7450,X
1268,1882746000,7460,X
1268,1882748000,7480,X
1268,1882749000,7490,X
1268,1882752000,7520,X
1268,1882756000,7560,X
1268,1882757000,7570,X
1268,1882758000,7580,X
